AUTHOR	COAUTHORS
Albert S. Keister	{'Thurmond W. Arnold': 1}
Albert Schander	{'John Mez': 1}
Albert Shaw	{}
Albert T. Helbing	{'Edward Gross': 1}
Albert Tanner	{'Peter Schnider': 1}
Albert W. Marshall	{'Moshe Shaked': 1}
Albert Weale	{'Bernard Williams': 1, 'Keith Hart': 1, 'John Muellbauer': 1, 'Ravi Kanbur': 1, 'Geoffrey Hawthorn': 1, 'Amartya Sen': 1}
Albert Zimmermann	{'Marcel Boson': 1}
Albert van Houtte	{}
Alberto Abadie	{'Guido W. Imbens': 1}
Alberto Alesina	{'Roberto Perotti': 1, 'Ignazio Angeloni': 1, 'Silvia Ardagna': 1, 'Federico Etro': 1, 'Fabio Schiantarelli': 1}
Alberto Baltra Cortés	{}
Alberto Campolongo	{'S. Bortolani': 1}
Alberto Ceselli	{'Giovanni Righini': 1}
Alberto Chong	{'Lucas Ronconi': 1, 'Hugo \xc3\x91opo': 1, 'Miguel Urquiola': 1}
Alberto Cisneros-Lavaller	{}
Alberto De Michelis	{}
Alberto Gomez-Alcala	{}
Alberto Gradstein	{}
Alberto Grohmann	{'F. Perroux': 1}
Alberto Valdés E.	{}
Alberto de' Stefani	{}
Albert M. Muniz, Jr.	{'Thomas\xc2\xa0C. O\xe2\x80\x99Guinn': 1}
Albr Nossig	{}
Albrecht Aschoff	{}
Albrecht Bossert	{'Wilfried Burkhardt': 1, 'J. Heinz M\xc3\xbcller': 1}
Albrecht Dietz	{}
Albrecht Offenbächer	{}
Albrecht Timm	{'Franz Rosenhainer': 1}
Albrecht Weiss	{}
Albrecht Weiß	{}
Alcott Arthur	{}
Alden F. Abbott	{'Gordon L. Brady': 1}
Alden S. Bean	{'Richard Chapas': 1, 'Martha J. Collins': 1, 'Angus I. Kingon': 1}
Aldo Chiancone	{'B. Bracewell-Milnes': 1}
Aldo De Maddalena	{'G. Luzzatto': 1, 'D. Demarco': 1}
Aldo De Toma	{'Canina A. Garino': 1}
Aldo Ferrer	{}
Aldo Musacchio	{'Paolo Mauro': 1, 'Nathan Sussman': 1, 'Yishay Yafeh': 1}
Aldo de Maddalena	{}
Aldoun Heaton	{}
Alec Cairncross	{'H. Richards': 1}
Alec Nove	{'Bela Csik\xc3\xb3s-Nagy': 1, 'Silvana Malle': 1, 'Robert Lewis': 1}
Alec P. Alexander	{}
Alejandro Arráez García	{}
Alejandro Arráez	{}
Alejandro B. Rofman	{}
Alejandro Grimson	{'Ruben Oliven': 1}
Alejandro Nadal Egea	{}
Alejandro Nin-Pratt	{}
Alejandro Riaño	{}
Alejandro Rofman	{'Harry W. Richardson': 1}
Alejandro Sánchez T.	{'Raymond Vernon': 1}
Alejandro Zentner	{'Cuneyd Kaya': 1, 'Michael Smith': 1}
Alek A. Rozental	{}
Alek A. Rozenthal	{'Benjamin Higgins': 1, 'Wilfred Malenbaum': 1}
Alessandra Fogli	{'Laura Veldkamp': 1}
Alessandra Guariglia	{'Byung-Yeon Kim': 1}
Alessandro Bucciol	{'Raffaele Miniaci': 1}
Alessandro Garelli	{}
Alessandro Lizzeri	{'Marciano Siniscalchi': 1}
Alessandro Nuvolari	{}
Alessandro Penati	{}
Alessandro Petretto	{}
Alex Armstrong	{'Frank D. Lewis': 1}
Alex C. Michalos	{'E. Regehr': 1}
Alex Comfort	{}
Alex Cukierman	{'S. Honkapohja': 1, 'R. Uusitalo': 1, 'W. Leibfritz': 1, 'E. A. Koskela': 1}
Alex E. Fernández Jilberto	{}
Alex M. Brill	{}
Alex Maurizi	{}
Alex Molnar	{}
Alex N. McLeod	{}
Alex Orden	{}
Alex Rees-Jones	{}
Alexander A. Robichek	{}
Alexander Aue	{'Lajos Horv\xc3\xa1th': 1, 'Clifford Hurvich': 1, 'Philippe Soulier': 1}
Alexander Braun	{'Hato Schmeiser': 1, 'Florian Schreiber': 1}
Alexander David	{'Pietro Veronesi': 1}
Alexander Eckstein	{}
Alexander Erlich	{'Naum Jasny': 1}
Alexander Gerschenkron	{'S. N. Prokopovicz': 1, 'P. I. Lyashchenko': 1}
Alexander Gray	{'A. M. de Jong': 1}
Alexander I. Gerasimov	{}
Alexander J. Field	{}
Alexander J. Triantis	{'James E. Hodder': 1}
Alexander K. Koch	{'Hans-Theo Normann': 1}
Alexander Kouzmin	{'Judy Johnston': 1}
Alexander Ljungqvist	{'William J. Wilhelm,': 1}
Alexander M. Bing	{}
Alexander MacLachlan	{}
Alexander Mahr	{}
Alexander Neumann	{}
Alexander W. Butler	{'Larry Fauver': 1}
Alexandra Bamji	{'Ursula Klein': 1, 'E. C. Spary': 1}
Alexandra Daisy Ginsberg	{}
Alexandra Dobrowolsky	{'Gail Kellough': 1, 'Raymond Tatalovich': 1}
Alexandra Flynn	{}
Alexandra Jasinska	{'Leszek Nowak': 1}
Alexandra Newman	{'Andres Weintraub': 1}
Alexandre Sokic	{}
Alexis Guyot	{}
Alexius Boér	{'Paul Einzig': 1}
Alfons Desiata	{}
Alfons Dopsch	{}
Alfons Palangkaraya	{'Jongsay Yong': 1}
Alfonso Alba-Ramírez	{}
Alfonso Corona Rentería	{}
Alfonso Magallón de la Vega	{}
Alfred Blumstein	{'R. Gordon Cassidy': 1, 'Wilpen L. Gorr': 1, 'Anthony S. Walters': 1, 'Daniel Nagin': 1}
Alfred C. Neal	{}
Alfred Charpentier	{}
Alfred D. Chandler,	{}
Alfred E. Hofflander,	{'Richard M. Duvall': 1}
Alfred E. Holcomb	{}
Alfred E. Ott	{'Joseph A. Schumpeter': 1}
Alfred G. Aswad	{'A. Kaufmann': 1, 'D. R. Cox': 1, 'Walter L. Smith': 1, 'R. Cruon': 1}
Alfred G. Buehler	{}
Alfred Galichon	{'John K.-H. Quah': 1}
Alfred Henry	{}
Alfred J. Francfort	{'Ronald Andersen': 1, 'Judith Kasper': 1, 'Martin R. Frankel': 1}
Alfred J. Steinherr	{'W. M. Corden': 1}
Alfred Kähler	{'Seymour E. Harris': 1}
Alfred L. Chan	{'Ralph A. Thaxton,': 1}
Alfred M. Wilson	{}
Alfred Manes	{'G. F. Michelbacher': 1}
Alfred Nicols	{}
Alfred Plummer	{}
Alfred Politz	{}
Alfred Röher	{}
Alfred S. Eichner	{'John M. Blair': 1, 'Robert Engler': 1, 'Anthony Sampson': 1}
Alfred Schappacher	{'Josef Schm\xc3\xb6le': 1, 'Max v. Heckel': 1}
Alfred Steinherr	{}
Alfred Vierkandt	{'Ch. A. Ellwood': 1, 'Felix Kr\xc3\xbcger': 1}
Alfredo Bachiller Cacho	{}
Alfredo J. Mauri	{'Arvind V. Phatak': 1}
Alfredo LAGUNILLA	{'Willem FLORIS MARGADANT': 1}
Alfredo NAVARRETE	{}
Ali Besharat	{'Daniel M. Ladik': 1, 'Fran\xc3\xa7ois A. Carrillat': 1}
Ali C. Akyol	{'Wei Fen Lim': 1, 'Patrick Verwijmeren': 1}
Ali E. Abbas	{'Susan P. Holmes': 1}
Ali Eshragh	{'Jerzy Filar': 1}
Ali F. Darrat	{}
Ali M. Ahmed	{'Lina Andersson': 1, 'Mats Hammarstedt': 1}
Ali M. Kutan	{}
Ali M. Reza	{}
Alice H. Cook	{'Stephen S. Large': 1}
Alice P. White	{}
Alicia Castañeda Aldrete	{'Edward H. Carr': 1}
Alicia Durán Herás	{}
Alieto Aldo Guadagni	{}
Alin Gruber	{}
Alina Beattrice Vladu	{'Oriol Amat': 1, 'Dan Dacian Cuzdriorean': 1}
Alireza Abbasi	{'Shahadat Uddin': 1, 'Liaquat Hossain': 1}
Alireza Naghavi	{'Gianmarco Ottaviano': 1}
Alison Ewart	{}
Alison Watts	{'Fernando Vega-Redondo': 1}
Alister Sutherland	{}
Alladi Venkatesh	{'Nicholas P. Vitalari': 1}
Allan Bird	{'W. Carl Kester': 1}
Allan Collard-Wexler	{}
Allan D. Nelson	{'Ronald Beiner': 1}
Allan Drazen	{}
Allan G. Gruchy	{'Fred Eugene Jewett': 1}
Allan H. Meltzer	{}
Allan M. Maslove	{'Gene Swimmer': 1}
Allan Mitchell	{'Jack D. Ellis': 1}
Allan P. Blostin	{}
Allan Schwartzbaum	{'Leopold Gruenfeld': 1}
Allan Sproul	{}
Allan Timmermann	{}
Allan W. Gregory	{'Gregor W. Smith': 1}
Allan W. Kleidon	{}
Allen B. Paul	{}
Allen C. Bluedorn	{'Frank A. Dubinskas': 1}
Allen C. Kelley	{}
Allen D. Engle	{'Judith W. Spain': 1, 'Norbert F. Elbert': 1}
Allen G. Schick	{}
Allen I. Kraut	{'Marvin D. Dunnette': 1}
Allen I. Schiff	{'Belverd E. Needles,': 1}
Allen M. Featherstone	{'Timothy G. Baker': 1}
Allen M. Weiss	{}
Allen N. Berger	{'Timothy H. Hannan': 1}
Allen Ponak	{'T.P. Haridas': 1}
Allen Ripley Foote	{}
Allen Schick	{}
Allen T. Bonnell	{'Karl Brandt': 1}
Allison Borchers	{'Todd Kuethe': 1, 'Jennifer Ifft': 1}
Allison Desmarais	{}
Allison H. Smith	{'Robert B. Archibald': 1, 'David H. Feldman': 1}
Allison Mascella	{'Shahzia Teja': 1, 'Brennan S. Thompson': 1}
Allyn A. Young	{'R. G. Hawtrey': 1, 'E. Hilton Young': 1}
Allyn O. Lockner	{}
Alma Acevedo	{}
Alma Espino	{'Alina Machado': 1, 'Fernando Isabella': 1, 'Mart\xc3\xadn Leites': 1}
Almarin Phillips	{'J. Fred Weston': 1, 'Nancy L. Schwartz': 1, 'Morton I. Kamien': 1}
Alois Oberhauser	{'Emil M. Claassen': 1}
Aloisio Araujo	{'M\xc3\xa1rio Rui P\xc3\xa1scoa': 1, 'Juan Pablo Torres-Mart\xc3\xadnez': 1}
Alok Ray	{}
Alon Harel	{'Alon Klement': 1}
Aloys Prinz	{}
Aloys Vogt	{}
Alp E. Atakan	{'Mehmet Ekmekci': 1}
Alpha C. Chiang	{'Rubin Saposnik': 1, 'James Quirk': 1}
Alton Frye	{}
Alton Thompson	{'Benjamin G. Gray': 1}
Altug Yalcintas	{'David F. Ruccio': 1}
Alun C. Davies	{'Joel Mokyr': 1}
Alvaro Cuervo-Cazurra	{'Andrew Inkpen': 1, 'Mehmet Genc': 1, 'Aldo Musacchio': 1, 'Kannan Ramaswamy': 1}
Alvaro Cuervo	{'Pedro Rivero': 1}
Alvaro Rodriguez	{}
Alvin Cohen	{'Thomas N. Gladwin': 1, 'Ingo Walter': 1}
Alvin E. Headen,	{}
Alvin J. Silk	{'Glen L. Urban': 1}
Alvin K. Klevorick	{}
Alvin L. Marty	{'John Hicks': 1}
Alvin S. Johnson	{'J. A. Hobson': 1, 'Lewis H. Haney': 1, 'H. C. Taylor': 1}
Alícia Adserà	{'Debraj Ray': 1}
Amal Sanyal	{}
Amalia R. Miller	{'Lei Zhang': 1}
Amanda Bayer	{'Cecilia Elena Rouse': 1}
Amar Cheema	{'Rajesh Bagchi': 1}
Amar Gande	{'Craig M. Lewis': 1}
Amar K. Parai	{'Hamid Beladi': 1}
Amardeep Athwal	{}
Amarendra Sharma	{'Cassondra Bruce': 1}
Amarjit Kaur	{'Maureen Fennell Mazzaoui': 1}
Amartya Kumar Sen	{}
Amartya Lahiri	{'Carlos\xc2\xa0A. V\xc3\xa9gh': 1}
Ambrogio Riva	{'H. Lefebvre': 1}
Amedeo Gambino	{'R. G. Hawtrey': 1}
Amelia C. Ford	{'Blanche Evans Hazard': 1}
Amihai Glazer	{'Bernard Grofman': 1, 'Hiroki Kondo': 1}
Amir Barnea	{'Robert A. Haugen': 1, 'Lemma W. Senbet': 1}
Amir D. Aczel	{'Timothy J. Fullam': 1}
Amir Helman	{}
Amir Mahmood	{'Ch. Hasnat Ahmad': 1}
Amirah Inglis	{}
Amit Bhaduri	{}
Amit Bhattacharjee	{'Geeta Menon': 1, 'Jonah Berger': 1}
Amit Mehra	{'Vijay Mookerjee': 1}
Amita Dutta	{}
Amitai Etzioni	{}
Ammar Siamwalla	{}
Amnon Rapoport	{'Zeev Maoz': 1, 'Dan S. Felsenthal': 1}
Amry Vandenbosch	{'George Masselman': 1}
Amy E. Jasperson	{'David P. Fan': 1}
Amy Farmer	{'Victor Stango': 1, 'Andrew W. Horowitz': 1, 'Paul Pecorino': 1}
Amy L. Kenworthy	{}
Amy Oliver	{}
Amy Whritenour Ando	{}
Amy Wrzesniewski	{'Jane E. Dutton': 1}
Ana Cecília Fieler	{}
Ana Ferrer	{'W. Craig Riddell': 1}
Ana Gisbert Clemente	{}
Ana I. Balsa	{}
Ana Rute Cardoso	{'Miguel Portela': 1}
Anabela Carneiro	{'Jos\xc3\xa9 Varej\xc3\xa3o': 1, 'Nat\xc3\xa9rcia Fortuna': 1}
Anandasivam Gopal	{'Konduru Sivaramakrishnan': 1}
Anant K. Sundaram	{'Dennis E. Logue': 1}
Anantaram Balakrishnan	{'Thomas L. Magnanti': 1, 'Prakash Mirchandani': 2, 'Harihara Prasad Natarajan': 1}
Anat R. Admati	{'Stephen A. Ross': 1}
Anders Björklund	{'William Julius Wilson': 1, 'Roger Lawson': 1, 'Katherine McFate': 1}
Anders Böhlmark	{'Matthew\xc2\xa0J. Lindquist': 1}
Anders Melander	{'Mattias Nordqvist': 1}
Anders Nicolai Kiær	{}
Anders Thorstenson	{'Peter Hultman': 1}
Andre Croppenstedt	{'Markus Goldstein': 1, 'Nina Rosas': 1}
Andre H. Wang	{}
Andre J. Plourde	{'John Erik Fossum': 1}
Andre Veenendaal	{'Tanya Bondarouk': 1}
Andrea Bassanini	{'Luca Nunziata': 1, 'Romain Duval': 1, 'Danielle Venn': 1}
Andrea Goldstein	{}
Andrea Gubitz	{}
Andrea Hausmann	{}
Andrea Isoni	{'Robert Sugden': 1, 'Kei Tsutsui': 1, 'Anders Poulsen': 1}
Andrea Mariotti	{'Thomas Salani\xc3\xa9': 1}
Andrea Nesseldreher	{'Rudolf Fisch': 1, 'Dieter Beck': 1}
Andrea Pühringer	{'Stefan Kroll': 1}
Andrea Wagner	{'Jutta Wietog': 1}
Andreas Barth	{'Fabiano Schivardi': 1, 'Isabel Schnabel': 1, 'Vasso Ioannidou': 1}
Andreas Bilinsky	{'Boris Meissner': 1, 'Georg Brunner': 1, 'Richard L\xc3\xb6wenthal': 1}
Andreas Blume	{'John Duffy': 1, 'April M. Franco': 1}
Andreas Buehn	{'Stefan Eichler': 1}
Andreas G. Papandreou	{}
Andreas Haufler	{'Michael Pfl\xc3\xbcger': 1}
Andreas Hornstein	{'Giovanni L. Violante': 1, 'Per Krusell': 1}
Andreas Huber	{'Tobias Bergmann': 1}
Andreas Luh	{'Berno Bahro': 1}
Andreas Löschel	{'ZhongXiang Zhang': 1}
Andreas Rasche	{'Daniel E. Esser': 1}
Andreas Resch	{}
Andreas Suchanek	{'Neil Fligstein': 1}
Andreas Volkmer	{}
Andres Cuneo	{'Jose Miguel Benavente': 1, 'Javier Palacios-Fenech': 1, 'Sandra J. Milberg': 1}
Andreu Mas-Colell	{}
Andrew A. Bruce	{'Nathan William MacChesney': 1}
Andrew A. Workman	{}
Andrew Abbott	{'Tao Xing': 1, 'Joshy Easaw': 1}
Andrew Ang	{'Geert Bekaert': 1, 'Min Wei': 1}
Andrew Atkeson	{}
Andrew B. Abel	{}
Andrew Berczi	{}
Andrew Burton-Jones	{'Camille Grange': 1}
Andrew C. Gross	{'David D. Weiss': 1}
Andrew C. Okolie	{}
Andrew C. Wicks	{'Shawn L. Berman': 1, 'Daniel R. Gilbert,': 1, 'R. Edward Freeman': 1}
Andrew Caplin	{'Mark Dean': 1, 'Daniel Martin': 2}
Andrew Cohen	{'Brian McManus': 1, 'Beth Freeborn': 1}
Andrew D. Bailey,	{'Jack Gray': 1}
Andrew D. Foster	{'Mark R. Rosenzweig': 1, 'Emilio Gutierrez': 1}
Andrew Delios	{'Witold J. Henisz': 1}
Andrew F. Brimmer	{}
Andrew F. Daughety	{'Jennifer F. Reinganum': 1}
Andrew F. Siegel	{'Charles R. Nelson': 1}
Andrew Feltenstein	{}
Andrew Grindlay	{'Bertram Schoner': 1, 'Milton D. Rubin': 1, 'Ronald E. Frank': 1, 'Paul E. Green': 1, 'Patrick J. Robinson': 1, 'Myron J. Gordon': 1}
Andrew Harvey	{'Siem Jan Koopman': 2, 'Marco Riani': 1}
Andrew I. Millington	{'Brian T. Bayliss': 1}
Andrew J. Oswald	{}
Andrew J. Patton	{'Michela Verardo': 1}
Andrew Jenkins	{'Anne Clendinning': 1}
Andrew K. Rose	{'Saktiandi Supaat': 1, 'Jacob Braude': 1}
Andrew Lockwood	{}
Andrew M. Watson	{'Maya Shatzmiller': 1}
Andrew Markus	{'Peter Fryer': 1}
Andrew Matten	{}
Andrew McFarland Davis	{}
Andrew Mearman	{}
Andrew N. Garman	{}
Andrew P. Barkley	{}
Andrew P. Morriss	{'Gregory C. Sisk': 1, 'Michael Heise': 1}
Andrew Pickering	{}
Andrew Popp	{'Jon Stobart': 1}
Andrew R. Keefe	{'C. Theodore McCoy': 1, 'Matthew J. Koebel': 1}
Andrew Rudd	{'Barr Rosenberg': 1}
Andrew S. Downes	{}
Andrew Schmitz	{'Fritz Machlup': 1, 'Lorie Tarshis': 1, 'Walter S. Salant': 1}
Andrew Sum	{'Ishwar Khatiwada': 1, 'Allison Beard': 1, 'Joseph McLaughlin': 2}
Andrew T. Foerster	{'Pierre-Daniel G. Sarte': 1, 'Mark W. Watson': 1}
Andrew T. Young	{'Thomas L. Hogan': 1, 'Travis Wiseman': 1}
Andrew Von Nordenflycht	{}
Andrew W. Horowitz	{}
Andrew Zimbalist	{'Andrew Shonfield': 1, 'Zuzanna Shonfield': 1}
Andrew von Nordenflycht	{}
Andrew D. Gershoff	{'Gita\xc2\xa0Venkataramani Johar': 1}
Andris A. Zoltners	{'Prabhakant Sinha': 1}
André Babeau	{'J. B\xc3\xa9nard': 1, 'Fritz J. De Jong': 1}
André Bernard	{'Henri Brun': 1}
André Blais	{}
André C. Côté	{'Marcel Morin': 1}
André CAMIRE	{'John B. Miner': 1}
André Chaineau	{'J. Marchal': 1, 'J. Lecaillon': 1}
André F. Perold	{}
André Gabor	{'Anthony P. Sowter': 1}
André Garrigou-Lagrange	{'Robert Badouin': 1}
André Liebich	{'Jacques Grandjonc': 1}
André Marchal	{'Lucas Beltran': 1}
André Orléan	{}
André ROY	{'G. Trudeau': 1, "C. D'Aoust": 1}
André Roy	{}
André Sapir	{}
André van Hoorn	{'Luigino Bruni': 1, 'Pier Luigi Porta': 1}
Andrés Carvajal	{'Marek Weretka': 1}
Andrés Guiral Contreras	{'Susana Gago Rodr\xc3\xadguez': 1}
Andrés Pérez Baltodano	{'Jonathan Hartlyn': 1}
Andrés Varela García	{}
Andrés Vázquez	{}
Andy Hughes	{'Sandra Meredith': 1, 'W. Edward Stead': 1, 'Jean Garner Stead': 1, 'Teun Wolters': 1}
Aneel Karnani	{}
Anette Boom	{}
Angel BASSOLS BATALLA	{}
Angela M. Evans	{'Adriana Campos': 1}
Angelika Westermann	{'Paul Warde': 1}
Angelo J. Kinicki	{'Frances M. McKee-Ryan': 1, 'Gregory E. Prussia': 1}
Angelo M. Cardani	{'C.H. Feinstein': 1, 'R.C.O. Mattews': 1, 'J.C. Odling-Smee': 1}
Angelo Santagostino	{'C. Vartes': 1, 'D. Seers': 1}
Angelos Angelopoulos	{}
Angelos Pagoulatos	{'David Debertin': 1, 'Emilio Pagoulatos': 1}
Angie Kotler	{}
Angus Deaton	{}
Ani L. Katchova	{}
Anika D. Luch	{'S\xc3\xb6nke E. Schulz': 1}
Anil Arya	{'Pierre Liang': 1, 'K. Sivaramakrishnan': 1, 'Brian Mittendorf': 2, 'David E. M. Sappington': 1, 'Joel Demski': 1, 'Jonathan Glover': 2, 'John Fellingham': 2, 'Doug Schroeder': 1}
Anindya Banerjee	{'Alan Beggs': 1}
Anita Ho	{}
Anita Landers	{}
Anita M. McGahan	{'Michael E. Porter': 1}
Anita Tiraspolsky	{'Michel Vale': 1}
Anita Williams Woolley	{'Erica Fuchs': 1}
Anja De Waegenaere	{'Richard Sansing': 2, 'Jacco L. Wielhouwer': 1}
Anja Schneider	{'Andreas Knopf': 1}
Anja Seng	{}
Anja Thies	{'Armin Weber': 1}
Anja Tuschke	{}
Anjan V. Thakor	{}
Anjum Bilal	{}
Anke Gerber	{'Marc Oliver Bettz\xc3\xbcge': 1}
Anker V. Andersen	{'Bryan V. Carsberg': 1}
Ann Cairns	{'Janet Misell': 1}
Ann Curthoys	{}
Ann D. Witte	{}
Ann Dryden Witte	{}
Ann E. Harrison	{}
Ann E. Mulligan	{'David P. Ahlfeld': 1}
Ann E. Tenbrunsel	{'Max H. Bazerman': 1, 'David M. Messick': 1, 'Kimberly A. Wade-Benzoni': 1}
Ann Gordon	{'Andrew Goodland': 1}
Ann Hansen	{}
Ann Jannetta	{'Susan B. Hanley': 1}
Ann L. Owen	{}
Ann M. Butler	{'Neil A. Doherty': 1}
Ann P. Bartel	{'Lacy Glenn Thomas': 1, 'Nachum Sicherman': 1}
Ann Petherick	{}
Ann Ruth Willner	{}
Ann S. Ritter	{}
Ann Taket	{'William A. Wallace': 1}
Anna Alberini	{}
Anna Davies	{'Frank Moulaert': 1, 'Erik Swyngedouw': 1, 'Sara Gonzalez': 1, 'Flavia Martinelli': 1}
Anna George de Mille	{}
Anna Guglielmetti	{'M. Cannata': 1, 'O Ascani': 1}
Anna Kormilitsina	{}
Anna Lamin	{'Srilata Zaheer': 1}
Anna Maria Corsi Viglietta	{}
Annamaria Conti	{'Jerry Thursby': 1, 'Marie Thursby': 1}
Annamaria Lusardi	{}
Anne Beeson Royalty	{'Francine D. Blau': 1, 'Ronald G. Ehrenberg': 1}
Anne Booth	{'Pierre van der Eng': 1}
Anne C. Meyering	{'John W. Shaffer': 1}
Anne Case	{'Darren Lubotsky': 1, 'Christina Paxson': 1}
Anne Cunningham	{}
Anne Digby	{'Penelope Corfield': 1}
Anne E. Curry	{'Gerard Siv\xc3\xa9ry': 1}
Anne E. Peck	{}
Anne E. Polivka	{'Jennifer M. Rothgeb': 1}
Anne E. Rathbone Bradley	{}
Anne E. Winkler	{}
Anne Fleur Aagesen	{'Gustav Janssen': 1, 'Marijn Krogstie': 1}
Anne H. Reilly	{'Linda K. Stroh': 1, 'Jeanne M. Brett': 1}
Anne Jones Dorn	{'Paul Sengmueller': 1, 'Daniel Dorn': 1}
Anne L. Jefferson	{'Guilbert C. Hentschke': 1}
Anne M. Hewitt	{'Laurel L. McFarland': 1, 'Judith J. Kirchhoff': 1, 'Carl Ameringer': 1, 'Jeptha W. Dalston': 1, 'Brenda Stevenson Marshall': 1, 'Karen Harlow-Rosentraub': 1}
Anne Mayhew	{}
Anne O. Krueger	{'Jean Waelbroeck': 1, 'Christopher Gilbert': 1, 'David Vines': 1}
Anne Romanis Braun	{}
Anne S. Tsui	{}
Anne Sibert	{}
Anne T. Coughlan	{'Subrata K. Sen': 1}
Anne White	{}
Anne-Marie Gingras	{'Jean-Marie Cotteret': 1}
Anne-Sophie Bayle-Tourtoulou	{'Michel Dietsch': 1}
Annette Bergemann	{'Stefan Speckesser': 1, 'Bernd Fitzenberger': 1}
Annette Vissing‐Jørgensen	{}
Annette Zimmer	{'Sigrid Betzelt': 1, 'Rudolph Bauer': 1}
Anouar El Ghouch	{'Ingrid Van Keilegom': 1, 'Ian W. McKeague': 1}
Anteneh Ayanso	{'Reena Yoogalingam': 1}
Anthony Barnes Atkinson	{}
Anthony Bottomley	{'John Sheehan': 1}
Anthony Byrd	{'Robert A. Haugen': 1}
Anthony C. Taylor	{}
Anthony Curtis	{}
Anthony E. Boardman	{'Mark A. Moore': 1, 'Aidan R. Vining': 1}
Anthony G. Cahill	{'Joseph A. James': 1, 'Jean E. Lavigne': 1, 'Ann Stacey': 1}
Anthony H. Pascal	{'Roy Bahl': 1}
Anthony Hartley	{'Doreen Collins': 1}
Anthony Heyes	{'Sandeep Kapur': 1}
Anthony Horsley	{'Andrew J. Wrobel': 1}
Anthony J. Venables	{}
Anthony M. Gould	{'Richard Hall': 1, 'Chrystia Freeland': 1}
Anthony M. Santomero	{}
Anthony M. Täng	{}
Anthony McFarlane	{'Arnold J. Bauer': 1, 'Marco Palacios': 1}
Anthony Niblett	{}
Anthony Richards	{}
Anthony Saunders	{'Richard Woodward': 1}
Anthony Scott	{'O. J. Firestone': 1}
Anthony Strittmatter	{'Uwe Sunde': 1}
Anthony T. Krzystofik	{}
Anthony T. Lo Sasso	{'Lorens A. Helmchen': 1, 'Robert Kaestner': 1}
Anthony Trewavas	{'James Wragg': 1, 'Karen Liebreich': 1, 'Dianne Thompson': 1, 'Timothy Spall': 1, 'Richard Boult': 1, 'Susan Shaw': 1, 'Michael Procter': 1, 'David Hill': 1}
Anthony W. Lynch	{'Sinan Tan': 1}
Antje Brunner	{'Jan Pieter Krahnen': 1}
Antje Fürst	{}
Antoine Ayoub	{}
Antoine Billot	{'Fr\xc3\xa9d\xc3\xa9ric Gavrel': 1}
Antoine Bommier	{'Fran\xc3\xa7ois Le Grand': 1}
Antoine Bouët	{'Lionel Cosnard': 1, 'David Laborde': 1}
Antoine d'Autume	{'Pierre Cahuc': 1}
Anton A. Heck	{}
Anton D. Lowenberg	{'Bryan R. Early': 1}
Anton Hahne	{'Inga Mittelstaedt': 1}
Anton Konrad	{'L. Albert Hahn': 1}
Anton Zottmann	{'Kurt Leese': 1, 'Karl Wagner': 1}
Antonin J. Liehm	{'Jan N\xc4\x9bmec': 1}
Antonio Accetturo	{'Luigi Infante': 1}
Antonio Argandoña	{'Carlos M. Moreno': 1, 'Joan M. Sol\xc3\xa1': 1}
Antonio Avila Díaz	{'Ricardo Torres Gait\xc3\xa1n': 1, 'Ricardo Torres Gayt\xc3\xa1n': 1}
Antonio Barrera de Irimo	{}
Antonio CALAFELL CASTELLO	{}
Antonio Calafell Castelló	{}
Antonio Carrillo Flores	{}
Antonio Di Vittorio	{'J. D. Bernal': 1}
Antonio Kappos	{'Suzanne Rivard': 1}
Antonio M. Silveira	{}
Antonio Majocchi	{'Roger Strange': 1}
Antonio Mele	{}
Antonio Montaner	{'Lore L. Kapp': 1, 'M. E. Kamp': 1, 'K. William Kapp': 1, 'Francisco Javier Conde': 1, 'G. Schm\xc3\xb6lders': 1, 'H. Beckendorff': 1}
Antonio Montañés	{'Marcelo Reyes': 1}
Antonio Quesada	{}
Antonio Yunez-Naude	{}
Antony G. Jackson	{}
Antti Ilmanen	{}
António Afonso	{'Philipp C. Rother': 1, 'Christiane Nickel': 1}
António Câmara	{}
Anuj Bhowmik	{}
Anwar M. Chaudry-Shah	{}
Anwar Shah	{'John Whalley': 1}
Anwer S. Ahmed	{'Emre Kilic': 1, 'Gerald J. Lobo': 1}
Aníbal Pinto	{}
Aparna Sundar	{'Theodore J. Noseworthy': 1}
Aparna A. Labroo	{'Suresh Ramanathan': 1}
Apostolos Burnetas	{'Stephen Gilbert': 1}
Apostolos N. Burnetas	{'Michael N. Katehakis': 1}
Ara G. Volkan	{'H. G. Heyman': 1, 'Robert Bloom': 1}
Arabinda Basistha	{'Richard Startz': 1}
Araldo di Crollalanza	{}
Archibald M. McIsaac	{'Henry Hazlitt': 1}
Archie J. Nichols	{'Harold E. Raynes': 1}
Ardelle A. Lundeen	{'Annette L. Clauson': 1}
Ardrew Sancton	{'Edmund P. Fowler': 1}
Areef Suleman	{}
Arghiri Emmanuel	{}
Arghya Ghosh	{'Hodaka Morita': 1}
Ariane Berthoin Antal	{'Camilla Krebsbach-Gnath': 1}
Aric Rindfleisch	{'Christine Moorman': 1}
Arie Beresteanu	{'Ilya Molchanov': 1, 'Francesca Molinari': 1}
Arie Halachmi	{}
Arie Hordijk	{'Dinard van der Laan': 1}
