AUTHOR	COAUTHORS
Adel Daoud	{}
Adel Safty	{}
Adelaide W. King	{'David Lepak': 1}
Adele Ladkin	{'Peter Adler': 1, 'Patricia A. Adler': 1}
Adewale Maja-Pearce	{}
Adi Katz	{"Dov Te'eni": 1}
Adi Schnytzer	{}
Aditya Goenka	{'Lin Liu': 1}
Adlowe L. Larson	{}
Adnan J. Almaney	{}
Adolf Francke	{'Dieter Hi\xc3\x9f': 1}
Adolf Günther	{'Erich Keyser': 1}
Adolf Güntzer	{}
Adolf Huber	{}
Adolf Lampe	{}
Adolf Merkl	{'Alfons Steiniger': 1}
Adolf Moxter	{'Wolfram Engels': 1, 'E. Gutenberg': 1, 'K. Hax': 1, 'W. Hasenack': 1, 'E. Sch\xc3\xa4fer': 1, 'William Beranek': 1}
Adolf Sturmthal	{'John Dunlop': 1, 'Gottfried Eisermann': 1}
Adolph Edward Grunewald	{}
Adolph Matz	{}
Adolph Wagner	{}
Adolphus Ballard	{}
Adonis Yatchew	{}
Adri W.A.J. de Jongh	{'Derick Schulschenk': 1, 'Jess Nieuwoudt': 1}
Adrian Barry	{}
Adrian Carr	{'Robert Leivesley': 1}
Adrian Furnham	{}
Adrian L. Jones	{}
Adrian Pagan	{'Aman Ullah': 1}
Adrian Werner	{'Arnt-Gunnar Lium': 1, 'Marte Fodstad': 1, 'Ruud Egging': 1, 'Kristin Tolstad Uggen': 1}
Adrian Wood	{'Robert Z. Lawrence': 1}
Adrian van Deemen	{'Agnieszka Rusinowska': 1}
Adriana Lleras-Muney	{}
Adrien Rognlie	{}
Adrienne E. Eaton	{'Paula B. Voos': 1}
Adrián Hernández-del-Valle	{}
Af G. Cassel	{}
Afia Malik	{'Ross Mallick': 1}
Afschin Gandjour	{}
Afzaal H. Rahim	{}
Afzalur Rahim	{}
Aggey Semenov	{'Julian Wright': 1}
Aghop Der-Karabetian	{'Norma Gebharbp': 1}
Agnar Sandmo	{}
Agnes v. Zahn-Harnack	{'Ilse Gordon': 1}
Agota Szende	{'Caroline Schaefer': 1}
Agustín Carstens	{}
Ahmad Saleh Alsalem	{'Subhash C. Sharma': 1, 'Marvin D. Troutt': 1}
Ahmed Belkaoui	{}
Ahmed Saber Mahmud	{}
Ahmed Zejly	{}
Ai-Mei Chang	{'Andrew B. Whinston': 1, 'P. K. Kannan': 1}
Aimee Drolet	{'Patti Williams': 1, 'Loraine Lau-Gesk': 1}
Aimee L. Franklin	{'Carol Ebdon': 1}
Aja Okorie	{}
Ajay K. Kohli	{'Ajith Kumar': 1, 'Bernard J. Jaworski': 1}
Ajit Karnik	{'R\xc3\xa9ne\xc2\xa0 V\xc3\xa9ron': 1, 'Manoj\xc2\xa0 Srivastava': 1, 'Stuart\xc2\xa0 Corbridge': 1, 'Glyn\xc2\xa0 Williams': 1}
Ake Blomqvist	{'L. Auer': 1}
Akhil Kumar	{'Wil M. P. van der Aalst': 1, 'Eric M. W. Verbeek': 1}
Akihito Udagawa	{}
Akira Momota	{'Ryo Horii': 1}
Alain Baccigalupo	{'Bruno Villalba': 1, 'Xavier Vandendriessche': 1}
Alain Bayet	{'Christel Colin': 1}
Alain Bienayme	{}
Alain Bienaymé	{'Alexis Jacquemin': 1}
Alain Cotta	{}
Alain Goergen	{'L. Stoleru': 1}
Alain Lipietz	{'Angus Cameron': 1}
Alain Noël	{'Barry Cooper': 1, 'David J. Bercuson': 1}
Alain Rouquié	{'Leonore Veltfort': 1}
Alain Samuelson	{'Friedrich Lutz': 1}
Alain Touraine	{'Klaus Offe': 1}
Alain Verbeke	{}
Alaka Malwade Basu	{}
Alamin Mazrui	{}
Alan Barreca	{'Karen Clay': 1, 'Joseph S. Shapiro': 1, 'Olivier Desch\xc3\xaanes': 1, 'Michael Greenstone': 1}
Alan Beever	{}
Alan Beggs	{'Paul Klemperer': 1}
Alan C. Hudson	{}
Alan C. Kerckhoff	{}
Alan C. Shapiro	{}
Alan Cairns	{'Will Kymlicka': 1}
Alan Collins	{'Roberto Zanola': 1, 'Antonello E. Scorcu': 1}
Alan D. Meyer	{'Geoffrey Brooks': 1, 'Glenn R. Carroll': 1, 'David Vogel': 1}
Alan D. Viard	{'DANIEL N. SHAVIRO': 1, 'ALAN J. AUERBACH': 1}
Alan E. Singer	{'M. S. Singer': 1}
Alan Gillie	{'Mark Freeman': 1}
Alan Gregory	{'Julie Whittaker': 1}
Alan H. Temple	{}
Alan Harrison	{'Mark Stewart': 1}
Alan Houghton Brodrick	{}
Alan J. Auerbach	{'Stephen D. Oliner': 1, 'Kevin A. Hassett': 1}
Alan J. Devereux	{'Michael Vella': 1, 'Michael P. Keen': 1}
Alan J. Dubinsky	{'Thomas E. Barry': 1, 'Roger A. Kerin': 1}
Alan J. Krupnick	{'Eric Nickell': 1, 'Anil Markandya': 1}
Alan J. Marcus	{}
Alan J. Mayne	{'Tina A. Folger': 1, 'George J. Klir': 1}
Alan Jessop	{'John Temple': 1, 'David Parker': 1}
Alan K. Campbell	{'George F. Break': 1, 'Thomas R. Dye': 1, 'Thomas J. Anton': 1}
Alan Kirman	{'David Colander': 1, 'Roland Kupers': 1}
Alan L. Erera	{'Carlos F. Daganzo': 1, 'David J. Lovell': 1}
Alan L. Gustman	{'Nahid Tabatabai': 1, 'Thomas L. Steinmeier': 2, 'Albert Rees': 1, 'Sharon P. Smith': 1}
Alan L. Saltzstein	{'Yuan Ting': 1, 'Grace Hall Saltzstein': 1}
Alan Lewis	{'Carmen Juravle': 1}
Alan M. Rugman	{'Sanjaya Lall': 1, 'Pankaj Ghemawat': 1}
Alan Mercer	{'Xiaoyong Tao': 1}
Alan Meyer	{'Karl E. Weick': 1, 'Peter J. Frost': 1}
Alan Nichols	{}
Alan P. Kirman	{'Matthew J. Sobel': 1}
Alan P. Murray	{}
Alan Parker	{}
Alan R. Andreasen	{}
Alan R. Bird	{}
Alan R. Roe	{'A. Ali Taha': 1, 'G. Routh': 1, 'U. G. Damachi': 1}
Alan Randall	{'Charles K. Rowley': 1}
Alan Robert Cerf	{}
Alan Rufus Waters	{'Patrick J. Lipinsky': 1, 'Roy Amara': 1}
Alan S. Blinder	{}
Alan S. Cole	{'W. Austin': 1, 'H. F. Alexander': 1, 'Albert Silber': 1, 'Jacob A. Franklin': 1, 'James Booth': 1}
Alan S. Manne	{'Jennifer L. Rowley': 1, 'Richard G. Richels': 1, 'Leo Schrattenholzer': 1}
Alan S. Milward	{'David F. Good': 1}
Alan Sangster	{'Paul De Lange': 1, 'Giovanna Scataglini-Belghitar': 1, 'Greg Stoner': 1, "Brendan O'Connell": 1}
Alan Schlottmann	{'Lawrence Abrams': 1}
Alan Sorkin	{'Robert F. Kennedy': 1}
Alan T. Peacock	{'John F. Due': 1, 'John Maurice Clark': 1, 'Henry Smith': 1}
Alan T. Udall	{}
Alan V. Deardorff	{}
Alan Washburn	{}
Alan Whitehorn	{'Cynthia H. Enloe': 1}
Alan Woodford	{}
Alan Young	{'Brendan Smith': 1}
Alastair Davidson	{}
Alastair R. Hall	{'Atsushi Inoue': 1}
Albena Pergelova	{'Diego Prior': 1, 'Josep Rialp': 1}
Albert A. Belman	{}
Albert A. Bennett	{'F. C. Kent': 1}
Albert A. Blum	{'Walter Galenson': 1, 'Seymour Lipset': 1}
Albert Battersby	{'Fred Hanssmann': 1}
Albert Breton	{'Alan T. Peacock': 1, 'Jack Wiseman': 1}
Albert C. Holt	{}
Albert C. Whitaker	{'E. W. Kemmerer': 1, 'Willard C. Fisher': 1, 'R. R. Bowker': 1, 'O. M. W. Sprague': 1, 'Professor Fisher': 1, 'B. M. Anderson,': 1}
Albert Cherns	{}
Albert D. Palachek	{'Richard I. Levin': 1, 'David S. Rubin': 1}
Albert Faucher	{'Mary Q. Innis': 1, 'Harold A. Innis': 1}
Albert G. Hart	{}
Albert G. Schweinberger	{'Charles Van Marrewijk': 1, 'Steven Brakman': 1}
Albert G. Z. Hu	{'Gary H. Jefferson': 1, 'Qian Jinchang': 1}
Albert Gailord Hart	{}
Albert H. Choi	{'Kathryn E. Spier': 1}
Albert Haring	{'Robert Bartels': 1, 'Theodore N. Beckman': 1}
Albert Hesse	{}
Albert Howard	{}
Albert J. Robinson	{'Brian Carroll': 1}
Albert L. Lederer	{'Aubrey L. Mendelow': 1}
Albert Lauterbach	{}
Albert Lougnon	{}
Albert Martin	{'Sigrid Bekmeier-Feuerhahn': 1, 'Thorsten Jochims': 1, 'Ursula Weisenfeld': 1}
Albert Michielsen	{'Fritz-Herbert Pfeiffer': 1}
Albert N. Link	{}
Albert N. Schrieber	{}
Albert O. Hirschman	{}
Albert Park	{'Kaushik Basu': 1}
Albert R. Wildt	{'Marvin A. Jolson': 1, 'Richard T. Hise': 1}
Albert Rees	{}
